"","Dochod_w_zl","Pierwsze_dziecko","Drugie_dziecko","Trzecie_dziecko","Czwarte_dziecko"
"1",0,701,701,817,817
"2",5,701,701,817,817
"3",10,701,701,817,817
"4",15,701,701,817,817
"5",20,701,701,817,817
"6",25,701,701,817,817
"7",30,701,701,817,817
"8",35,701,701,817,817
"9",40,701,701,817,817
"10",45,701,701,817,817
"11",50,701,701,817,817
"12",55,701,701,817,817
"13",60,701,701,817,817
"14",65,701,701,817,817
"15",70,701,701,817,817
"16",75,701,701,817,817
"17",80,701,701,817,817
"18",85,701,701,817,817
"19",90,701,701,817,817
"20",95,701,701,817,817
"21",100,701,701,817,817
"22",105,701,701,817,817
"23",110,701,701,817,817
"24",115,701,701,817,817
"25",120,701,701,817,817
"26",125,701,701,817,817
"27",130,701,701,817,817
"28",135,701,701,817,817
"29",140,701,701,817,817
"30",145,701,701,817,817
"31",150,701,701,817,817
"32",155,701,701,817,817
"33",160,701,701,817,817
"34",165,701,701,817,817
"35",170,701,701,817,817
"36",175,701,701,817,817
"37",180,701,701,817,817
"38",185,701,701,817,817
"39",190,701,701,817,817
"40",195,701,701,817,817
"41",200,701,701,817,817
"42",205,701,701,817,817
"43",210,701,701,817,817
"44",215,701,701,817,817
"45",220,701,701,817,817
"46",225,701,701,817,817
"47",230,701,701,817,817
"48",235,701,701,817,817
"49",240,701,701,817,817
"50",245,701,701,817,817
"51",250,701,701,817,817
"52",255,701,701,817,817
"53",260,701,701,817,817
"54",265,701,701,817,817
"55",270,701,701,817,817
"56",275,701,701,817,817
"57",280,701,701,817,817
"58",285,701,701,817,817
"59",290,701,701,817,817
"60",295,701,701,817,817
"61",300,701,701,817,817
"62",305,701,701,817,817
"63",310,701,701,817,817
"64",315,701,701,817,817
"65",320,701,701,817,817
"66",325,701,701,817,817
"67",330,701,701,817,817
"68",335,701,701,817,817
"69",340,701,701,817,817
"70",345,701,701,817,817
"71",350,701,701,817,817
"72",355,701,701,817,817
"73",360,701,701,817,817
"74",365,701,701,817,817
"75",370,701,701,817,817
"76",375,701,701,817,817
"77",380,701,701,817,817
"78",385,701,701,817,817
"79",390,701,701,817,817
"80",395,701,701,817,817
"81",400,701,701,817,817
"82",405,701,701,817,817
"83",410,701,701,817,817
"84",415,701,701,817,817
"85",420,701,701,817,817
"86",425,701,701,817,817
"87",430,701,701,817,817
"88",435,701,701,817,817
"89",440,701,701,817,817
"90",445,701,701,817,817
"91",450,701,701,817,817
"92",455,701,701,817,817
"93",460,701,701,817,817
"94",465,701,701,817,817
"95",470,701,701,817,817
"96",475,701,701,817,817
"97",480,701,701,817,817
"98",485,701,701,817,817
"99",490,701,701,817,817
"100",495,701,701,817,817
"101",500,701,701,817,817
"102",505,701,701,817,817
"103",510,701,701,817,817
"104",515,701,701,817,817
"105",520,701,701,817,817
"106",525,701,701,817,817
"107",530,701,701,817,817
"108",535,701,701,817,817
"109",540,701,701,817,817
"110",545,701,701,817,817
"111",550,701,701,817,817
"112",555,701,701,817,817
"113",560,701,701,817,817
"114",565,701,701,817,817
"115",570,701,701,817,817
"116",575,701,701,817,817
"117",580,701,701,817,817
"118",585,701,701,817,817
"119",590,701,701,817,817
"120",595,701,701,817,817
"121",600,701,701,817,817
"122",605,701,701,817,817
"123",610,701,701,817,817
"124",615,701,701,817,817
"125",620,701,701,817,817
"126",625,701,701,817,817
"127",630,701,701,817,817
"128",635,701,701,817,817
"129",640,701,701,817,817
"130",645,701,701,817,817
"131",650,701,701,817,817
"132",655,701,701,817,817
"133",660,701,701,817,817
"134",665,701,701,817,817
"135",670,702.123333333333,701,817,817
"136",675,703.808333333333,701,817,817
"137",680,705.493333333333,701,817,817
"138",685,707.178333333333,701,817,817
"139",690,708.863333333333,701,817,817
"140",695,710.548333333333,701,817,817
"141",700,712.233333333333,701,817,817
"142",705,713.918333333333,701,817,817
"143",710,715.603333333333,701,817,817
"144",715,717.288333333333,701,817,817
"145",720,718.973333333333,701,817,817
"146",725,720.658333333333,701,817,817
"147",730,722.343333333333,701,817,817
"148",735,724.028333333333,701,817,817
"149",740,725.713333333333,701,817,817
"150",745,727.398333333333,701,817,817
"151",750,729.083333333333,701,817,817
"152",755,730.768333333333,701,817,817
"153",760,732.453333333333,701,817,817
"154",765,734.138333333333,701,817,817
"155",770,735.823333333333,701,817,817
"156",775,737.508333333333,701,817,817
"157",780,739.193333333333,701,817,817
"158",785,740.878333333333,701,817,817
"159",790,742.563333333333,701,817,817
"160",795,744.248333333333,701,817,817
"161",800,745.933333333333,701,817,817
"162",805,747.618333333333,701,817,817
