Entity,Code,Year,Amphibians (total endemic)
Afghanistan,AFG,2020,1
Aland Islands,,2020,0
Albania,ALB,2020,0
Algeria,DZA,2020,1
American Samoa,ASM,2020,0
Andorra,AND,2020,0
Angola,AGO,2020,21
Anguilla,AIA,2020,0
Antarctica,ATA,2020,0
Antigua and Barbuda,ATG,2020,0
Argentina,ARG,2020,43
Armenia,ARM,2020,0
Aruba,ABW,2020,0
Australia,AUS,2020,209
Austria,AUT,2020,0
Azerbaijan,AZE,2020,0
Bahamas,BHS,2020,1
Bahrain,BHR,2020,0
Bangladesh,BGD,2020,0
Barbados,BRB,2020,0
Belarus,BLR,2020,0
Belgium,BEL,2020,0
Belize,BLZ,2020,1
Benin,BEN,2020,0
Bermuda,BMU,2020,0
Bhutan,BTN,2020,1
Bolivia,BOL,2020,73
Bonaire Sint Eustatius and Saba,BES,2020,0
Bosnia and Herzegovina,BIH,2020,0
Botswana,BWA,2020,0
Bouvet Island,BVT,2020,0
Brazil,BRA,2020,548
British Indian Ocean Territory,IOT,2020,0
British Virgin Islands,VGB,2020,0
Brunei,BRN,2020,0
Bulgaria,BGR,2020,0
Burkina Faso,BFA,2020,0
Burundi,BDI,2020,1
Cambodia,KHM,2020,5
Cameroon,CMR,2020,56
Canada,CAN,2020,0
Cape Verde,CPV,2020,0
Cayman Islands,CYM,2020,59
Central African Republic,CAF,2020,7
Chad,TCD,2020,1
Chile,CHL,2020,36
China,CHN,2020,254
Christmas Island,CXR,2020,0
Cocos Islands,CCK,2020,0
Colombia,COL,2020,373
Comoros,COM,2020,0
Congo,COG,2020,1
Cook Islands,COK,2020,0
Costa Rica,CRI,2020,60
Cote d'Ivoire,CIV,2020,4
Croatia,HRV,2020,0
Cuba,CUB,2020,0
Curacao,CUW,2020,1
Cyprus,CYP,2020,0
Czechia,CZE,2020,0
Democratic Republic of Congo,COD,2020,50
Denmark,DNK,2020,0
Djibouti,DJI,2020,0
Dominica,DMA,2020,11
Dominican Republic,DOM,2020,1
Ecuador,ECU,2020,163
Egypt,EGY,2020,1
El Salvador,SLV,2020,1
Equatorial Guinea,GNQ,2020,2
Eritrea,ERI,2020,1
Estonia,EST,2020,0
Eswatini,SWZ,2020,0
Ethiopia,ETH,2020,25
Faeroe Islands,FRO,2020,0
Falkland Islands,FLK,2020,0
Fiji,FJI,2020,2
Finland,FIN,2020,0
France,FRA,2020,3
French Guiana,GUF,2020,10
French Polynesia,PYF,2020,0
French Southern Territories,ATF,2020,0
Gabon,GAB,2020,3
Gambia,GMB,2020,0
Georgia,GEO,2020,0
Germany,DEU,2020,0
Ghana,GHA,2020,4
Gibraltar,GIB,2020,0
Greece,GRC,2020,3
Greenland,GRL,2020,0
Grenada,GRD,2020,2
Guadeloupe,GLP,2020,27
Guam,GUM,2020,0
Guatemala,GTM,2020,54
Guernsey,GGY,2020,0
Guinea,GIN,2020,8
Guinea-Bissau,GNB,2020,0
Guyana,GUY,2020,26
Haiti,HTI,2020,21
Heard Island and McDonald Islands,HMD,2020,0
Honduras,HND,2020,57
Hong Kong,HKG,2020,3
Hungary,HUN,2020,0
Iceland,ISL,2020,0
India,IND,2020,167
Indonesia,IDN,2020,213
Iran,IRN,2020,4
Iraq,IRQ,2020,0
Ireland,IRL,2020,0
Isle of Man,IMN,2020,0
Israel,ISR,2020,1
Italy,ITA,2020,13
Jamaica,JAM,2020,0
Japan,JPN,2020,46
Jersey,JEY,2020,0
Jordan,JOR,2020,0
Kazakhstan,KAZ,2020,0
Kenya,KEN,2020,17
Kiribati,KIR,2020,0
Kuwait,KWT,2020,0
Kyrgyzstan,KGZ,2020,0
Laos,LAO,2020,5
Latvia,LVA,2020,0
Lebanon,LBN,2020,0
Lesotho,LSO,2020,0
Liberia,LBR,2020,3
Libya,LBY,2020,0
Liechtenstein,LIE,2020,0
Lithuania,LTU,2020,0
Luxembourg,LUX,2020,0
Macao,MAC,2020,0
Madagascar,MDG,2020,312
Malawi,MWI,2020,4
Malaysia,MYS,2020,86
Maldives,MDV,2020,0
Mali,MLI,2020,2
Malta,MLT,2020,0
Marshall Islands,MHL,2020,0
Martinique,MTQ,2020,1
Mauritania,MRT,2020,0
Mauritius,MUS,2020,0
Mayotte,MYT,2020,0
Mexico,MEX,2020,284
Micronesia (country),FSM,2020,0
Moldova,MDA,2020,0
Monaco,MCO,2020,0
Mongolia,MNG,2020,0
Montenegro,MNE,2020,0
Montserrat,MSR,2020,0
Morocco,MAR,2020,0
Mozambique,MOZ,2020,5
Myanmar,MMR,2020,7
Namibia,NAM,2020,3
Nauru,NRU,2020,0
Nepal,NPL,2020,3
Netherlands,NLD,2020,0
New Caledonia,NCL,2020,0
New Zealand,NZL,2020,4
Nicaragua,NIC,2020,7
Niger,NER,2020,0
Nigeria,NGA,2020,3
Niue,NIU,2020,0
Norfolk Island,NFK,2020,0
North Korea,PRK,2020,0
North Macedonia,MKD,2020,0
Northern Mariana Islands,MNP,2020,0
Norway,NOR,2020,0
Oman,OMN,2020,0
Pakistan,PAK,2020,1
Palau,PLW,2020,1
Palestine,PSE,2020,0
Panama,PAN,2020,48
Papua New Guinea,PNG,2020,292
Paraguay,PRY,2020,0
Peru,PER,2020,301
Philippines,PHL,2020,93
Pitcairn,PCN,2020,0
Poland,POL,2020,0
Portugal,PRT,2020,1
Puerto Rico,PRI,2020,15
Qatar,QAT,2020,0
Reunion,REU,2020,0
Romania,ROU,2020,0
Russia,RUS,2020,0
Rwanda,RWA,2020,1
Saint Barthlemy,,2020,0
Saint Helena,SHN,2020,0
Saint Kitts and Nevis,KNA,2020,0
Saint Lucia,LCA,2020,0
Saint Martin (French part),MAF,2020,0
Saint Pierre and Miquelon,SPM,2020,0
Saint Vincent and the Grenadines,VCT,2020,1
Samoa,WSM,2020,0
San Marino,SMR,2020,0
Sao Tome and Principe,STP,2020,7
Saudi Arabia,SAU,2020,0
Senegal,SEN,2020,0
Serbia,SRB,2020,0
Seychelles,SYC,2020,11
Sierra Leone,SLE,2020,1
Singapore,SGP,2020,0
Sint Maarten (Dutch part),SXM,2020,0
Slovakia,SVK,2020,0
Slovenia,SVN,2020,0
Solomon Islands,SLB,2020,3
Somalia,SOM,2020,4
South Africa,ZAF,2020,52
South Georgia and the South Sandwich Islands,SGS,2020,0
South Korea,KOR,2020,4
